阿城	ACB
神池南	ONV
申德	ODD
神东	SOC
绅坊	OLH
沈家	OJB
申家店	ODB
沈家河	OJJ
深井子	SWT
神木	OMY
神木北	OMV
神木西	OUY
沈丘	SQN
神树	SWB
神头	SEV
沈阳	SYT
沈阳北	SBT
沈阳东	SDT
沈阳西	OXT
神峪河	SRY
深圳	SZQ
深圳北	IOQ
深圳东	BJQ
深圳坪山	IFQ
深圳西	OSQ
深州	OZP
升昌	OEB
圣浪	OVB
胜利	SIT
胜利桥	SLR
生芝渠	RZY
石坝	OBJ
十八台	SBC
十八站	SBX
石板墩	SDR
石板哨	SRW
石板滩	SAW
施秉	AQW
世博园	ZWT
石长	OCB
石场	SKW
石城	SCT
十渡	SEP
十二里阁	SRK
什邡	OFW
石圪台	STC
石河子	SZR
石湖	SPL
柿花树	SKM
石灰窑	OOD
石家	OJL
石家砭	SFY
史家铺	SPY
石家庄	SJP
石家庄北	VVP
十家子	SJD
施家嘴	SHM
石涧	STF
十间房	OFD
石景山	SNP
石景山南	SRP
石郎庄	OLP
什里店	OMP
十里坪	SKL
石林	SLM
石磷	SPB
石林南	LNM
石岭	SOL
石龙	SLQ
石楼	SZP
石马坝	SDW
石门	SMP
石门村	SMC
石门坎	SMW
石门岭	SLT
石门县	OMQ
石门县北	VFQ
石门子	SZX
石庙沟	SGY
石脑	SVD
石牌	SPQ
石桥镇	SZW
石桥子	SQT
石泉县	SXY
石人	SRL
石人城	SRB
石人沟	OHP
十三间房	SFR
石山	SAD
石塘路	STP
石头	OTB
石头河	SVL
石沱	OWW
石峡子	SXJ
石岘	SXL
石丫口	SOW
十堰	SNN
石燕桥	SQW
石柱槽	SCY
石柱县	OSW
师庄	SNM
石子坝	SXW
狮子山	OZH
石子山	HLW
狮子营	SZF
师宗	SEM
石嘴山	QQJ
首山	SAT
寿阳	SYV
舒城	OCH
蜀河	SHY
舒兰	SLL
疏勒	SUR
疏勒河	SHJ
树林	SLX
沭阳	FMH
署字井	OJT
双安屯	STL
双城北	SBB
双城堡	SCB
双丰	OFB
双峰寺	OFP
双凤驿	SYW
双福	SFW
双岗	OGT
双河口	SHW
双河镇	SEL
双吉	SML
双建	OJD
双流	ORW
双龙	SLY
双龙山	OIB
双蒙	SMZ
双庙子	SMT
双牌	SBZ
双泡子	OPD
双桥	SQP
双山屯	SPD
双石桥	SUW
双水	SLW
双堂	STA
双望	OQP
双溪	OOW
双鸭山	SSB
双羊店	SYD
双子河	SEB
水车湾	SWJ
水城	OCW
水地	OVD
水洞	SIL
水富	OTW
水沟	SEY
水花	SGW
水家湖	SQH
水江	ONW
水礼	SUL
水帘洞	SDL
水磨河	OVN
水曲柳	SQL
水泉	SID
水洋	SIP
水冶	SEF
水源	OYJ
顺昌	SCS
顺德	ORQ
顺德学院	OJQ
顺河场	SCW
顺义	SOP
朔州	SUV
朔州西	SXV
四道沟	SDD
四道湾	OUD
四方	SFK
四方台	STB
四分地	SFD
四分滩	SFC
四合	OED
四合台	OTD
四合屯	OHT
四合永	OHD
泗洪	GQH
司家岭	QLK
四家子	SXD
四井子	SGD
四棵树	SIR
四老沟	SLI
四马架	SMB
思濛	OMW
四平	SPT
四平东	PPT
泗水	OSK
四台子	OTT
思甜	SNR
泗亭	STZ
四团	STH
泗县	GPH
泗阳	MPH
宋	SOB
松坝	OBW
松河	SBM
松江	SAH
松江河	SJL
松江南	IMH
松江镇	OZL
松坎	OKW
松林	SIM
松林店	SDP
松岭	SWL
松青	OBB
松树	SFT
松树村	SUT
松树林	SXX
松树坡	SOY
松树台	IST
松树镇	SSL
松桃	MZQ
松原	VYT
宋寨	SNF
松滋	SIN
苏坂	SBS
苏北	OBT
苏宏图	SKC
苏集	SJC
苏家坡	SDY
苏家屯	SXT
肃宁	SYP
宿松	OAH
苏雄	OEW
苏州	SZH
宿州	OXH
苏州北	OHH
宿州东	SRH
苏州新区	ITH
苏州园区	KAH
算王庄	SVF
绥德	ODY
绥芬河	SFB
绥化	SHB
绥棱	SIB
遂宁	NIW
遂宁南	OHW
遂平	SON
绥西	SXB
遂溪	SXZ
绥阳	SYB
绥中	SZD
绥中北	SND
随州	SZN
孙家	SUB
孙吴	SKB
孙镇	OZY
索伦	SNT
索图罕	SHX
塔哈	THX
塔河	TXX
塔虎城	TMT
塔拉哈尔	TLC
塔力根土	TOD
塔前	TQG
塔山	TSD
他石海	TRT
塔石咀	TIM
塔崖驿	TYP
塔源	TWX
台安	TID
泰安	TMK
太白	TIW
泰达	TDA
台阁牧	TMC
太谷	TGV
太和	TUW
泰和	THG
太洪	TYW
太湖	TKH
台集屯	TTD
泰康	TKX
泰来	TLX
太岭	TNB
太姥山	TLS
泰宁	TNS
太平川	TIT
太平岭	TLL
太平桥	TPB
太平镇	TEB
太平庄	TPD
台前	TTK
苔青	TQB
台曲	TQV
泰山	TAK
太山所	PBQ
太阳村	TYZ
太阳沟	TYX
太阳山	TYJ
太阳升	TQT
太要	YEF
太原	TYV
太原北	TBV
太原东	TDV
太原西	TXV
台州	TZH
泰州	UTH
太子河	THT
郯城	TZK
坦甸	TDE
潭岗	TGG
覃家坝	QTW
谭家井	TNJ
磹口	TKS
滩头	TTW
滩头湾	TAQ
坦途	TTT
弹音	TEP
谭庄	TRN
塘豹	TBQ
汤池	TCX
塘渡口	TGQ
唐坊	TFP
唐房村	TFM
塘沽	TGP
塘沽南	TNP
唐官屯	TUP
棠海	THM
汤河	VTT
唐河	THF
唐家	TJD
唐家沱	KOW
唐家湾	PDQ
塘口	TKZ
塘库	TUZ
唐山	TSP
唐山北	FUP
汤山城	TCT
唐山东	THP
唐山南	TKP
汤头沟	TGD
塘头厦	TTQ
汤旺河	THB
唐王山	TWT
汤逊湖	THN
汤阴	TYF
汤原	TYB
桃村	TCK
桃村东	TDK
桃儿湾	TWC
陶家沟	TJW
陶家屯	TOT
陶赖昭	TPT
洮南	TVT
桃山	TAB
陶思浩	TSC
桃杏	TNV
桃映	TKQ
桃园	TYD
塔尔根	TRX
塔尔气	TVX
腾桥	TAG
藤县	TAZ
滕州	TXK
滕州东	TEK
天德	TDL
天德泉	TRL
田丁	TEZ
田东	TDZ
天鹅湖	TEC
天府北	TFW
天岗	TGL
天合	TTL
天湖	THR
天回镇	THW
田家沟	TQD
天津	TJP
天津北	TBP
天津南	TIP
天津西	TXP
天峻	TIO
田梁子	TAW
田林	TFZ
天门	TMN
天门南	TNN
天桥	VQT
天桥沟	VGT
天桥岭	TQL
天生桥	TSM
田师府	TFT
天水	TSJ
天台	TOW
天堂	TEQ
天通庵	TTA
天西	TXZ
田阳	TRZ
天义	TND
天镇	TZV
天祝	TZJ
天柱山	QWH
田庄	TWP
田庄镇	TZY
条子河	TZT
铁背山	TET
铁厂	TCL
铁佛寺	TBT
铁口	TKW
铁力	TLB
铁岭	TLT
铁岭西	PXT
铁山	TSN
铁西	TXW
亭亮	TIZ
亭林	TVH
亭子山	EFH
到保	RBT
陶卜齐	TBC
土贵乌拉	TGC
托克逊	TKR
土牧尔台	TRC
通安驿	TAJ
桐柏	TBF
通北	TBB
桐城	TTH
通道	TRQ
铜佛寺	TSL
通沟	TOL
铜鼓溪	TPW
潼关	TGY
铜罐驿	TGW
通海	TAM
通化	THL
通化县	TXL
佟家	VJT
佟家店	TDT
统军庄	TZP
通辽	TLD
通辽北	TED
通辽东	TDD
通辽西	TXD
铜陵	TJH
铜陵西	TLH
桐木寨	TMW
潼南	TVW
铜仁	RDQ
铜山	TRH
通天屯	TTB
通途	TUT
桐乡	TCH
同心	TXJ
通远堡	TYT
通州西	TAP
桐梓	TZW
桐子林	TEW
桃司兔	TTC
头道井	TJC
头道桥	TDC
头堡	TBR
土地堂东	TTN
图呼木	THC
土坎	TWW
图克木庙	TKC
图里河	TEX
吐列毛杜	TMD
图们	TML
土们岭	TNL
土门子	TCJ
土木	TMP
图强	TQX
土桥子	TQJ
土溪	TSW
团风	VFN
团结	TIX
团结村	TQW
团林	TUL
团山	TNT
屯升	TUJ
拖船埠	TFG
托托	TTR
沱沱河	THO
驼腰岭	TIL
吐鲁番	TFR
乌拉泊	WLR
乌兰哈达	WLC
乌兰浩特	WWT
乌兰花	WHC
乌拉特前旗	WQC
乌鲁木齐	WMR
乌苏	WSR
瓦房	WAD
瓦房店	WDT
瓦房店西	WXT
瓦拉干	WVX
洼里	WLP
挖色	WEM
瓦屋山	WAH
瓦窑坝	WCC
瓦窑堡	WOY
瓦窑田	WIM
瓦祖	WOW
歪头山	WIT
外洋	WYS
万安	WAV
弯道	WDX
万发屯	WFB
完工	WOX
湾沟	WGL
弯集	WJI
万家屯	WJD
万乐	WEB
万隆	WLL
万年	WWG
万宁	WNQ
弯坵	WQW
万盛	WSW
万水泉	WAC
万水泉南	WNC
完县	WXP
万源	WYY
万州	WYW
万庄	WZP
王安镇	WVP
望布	WER
旺苍	WEW
王场	WCW
望城	WCQ
汪甸	WVZ
望都	WDP
王府	WUT
王岗	WGB
王官人屯	WGV
网户	WUD
王家坝	WDW
王家井	WIP
王家湾	WJJ
王家营	WJM
王家营西	KNM
王家寨	WIV
望江	WJB
王楼	WSH
王平村	WPP
汪清	WQL
望山	WVD
王瞳	WTP
王团庄	WZJ
望溪	WFW
王杨	WYB
王玉庄	WGP
王兆屯	WZB
王庄	WZF
卫东	WVT
潍坊	WFK
威海	WKK
苇河	WHB
威虎岭	WHL
卫辉	WHF
魏家沟	WJA
魏家楼	WEY
渭津	WJL
威箐	WAM
威岭	WNB
渭南	WNY
渭南北	WBY
渭南南	WVY
渭南镇	WNJ
威宁	WNT
魏善庄	WSP
威舍	WSM
苇塘	WTL
卫星	WVB
尾亚	WYR
魏杖子	WKD
韦庄	WZY
苇子沟	WZL
微子镇	WQP
文安	WBP
文昌	WEQ
温春	WDB
文登	WBK
文地	WNZ
温都和硕	WDC
文阁	WHM
温根托海	WTX
文官屯	WTT
温家圳	WJG
温岭	VHH
温泉	WQM
温泉寺	WQT
文水	WEV
闻喜	WXV
温州	RZH
温州南	VRH
文竹	WVG
文庄村	WOF
沃博尔	WEC
卧虎屯	WOD
倭肯	WQB
卧里屯	WLX
卧龙寺	WLY
卧牛河	WNX
沃皮	WPT
武安	WAP
务本	WBL
五叉沟	WCT
吴场	WUW
五常	WCB
武昌	WCN
武昌北	WBN
武昌东	WDN
武昌南	WNN
吴川	WAQ
五大连池	WRB
武当山	WRN
五道沟	WDL
五道河	WHP
五道木	WMD
武店	WUH
五峰	WFD
五凤溪	WXW
武功	WGY
五公里	WGK
乌固诺尔	WGX
吴官田	WGM
乌海	WVC
乌海北	WBC
乌海西	WXC
武汉	WHN
武汉北	WZN
芜湖	WHH
芜湖北	WBH
午汲	WJP
五家	WUB
吴家川	WCJ
五家户	WOT
吴家屯	WJT
乌江	WJW
五棵树	WKT
乌拉山	WSC
乌兰	WIO
乌兰胡同	WUC
乌兰基	WLD
乌兰木伦	WMC
乌兰丘	WQX
乌兰乌苏	WWR
乌兰昭	WZX
乌兰中	WZD
五里墩	WLG
五莲	WLK
五林	WLB
武隆	WLW
五龙背	WBT
乌龙泉东	WQN
乌龙泉南	WFN
乌鲁布铁	WBX
五女山	WET
吴堡	WUY
五七	WQD
五桥	WPW
吴桥	WUP
武清	WWP
乌日根塔拉	WRC
乌日图	WTC
五三	WST
武山	WSJ
五十家子	VZD
乌斯台	WID
乌斯土	WSD
五台山	WSV
吴圩	WYZ
武威	WUJ
武威南	WWJ
五五	WVR
乌西	WXR
无锡	WXH
无锡东	WGH
无锡新区	IFH
武乡	WVV
五象南	WEZ
武穴	WXN
武义	RYH
乌伊岭	WPB
武夷山	WAS
五营	WWB
五原	WYC
五寨	WZV
梧州	WZZ
梧州南	WBZ
西安	XAY
西安北	EAY
西安东	XDY
西安南	CAY
西八里	XLP
西柏坡	XBA
西拨子	XBP
西昌	ECW
西昌北	EEW
西昌南	ENW
西川	XCL
西村	XCG
西大庙	XMP
西大滩	XAJ
西道口	IUP
喜德	EDW
溪洞	XDL
西斗铺	XPC
息烽	XFW
西丰	XFT
西岗子	NBB
西沟	XGY
西固城	XUJ
西韩岭	XIV
西贺村	XHV
西河村	EHN
西胡尔清	XRC
西江	XEG
西街口	EKM
西口	XKT
西里	XIC
西丽	ELQ
西辽河	XID
西林	XYB
锡林浩特	XTC
锡林呼都嘎	XLC
西岭口	XKX
西刘	XBD
西柳	GCT
西六方	XFD
西麻山	XMB
西南杖子	XGD
西宁	XNO
西宁北	XKO
西宁西	XXO
西平	XPN
西陂	XPS
犀浦	XIW
犀浦东	XAW
喜鹊乐	ELM
西社	XTY
西石门	XVP
浠水	XZN
西索木	XOX
锡铁山	XRO
西桐古	XGK
西土城	XUC
西洼	XWD
西湾堡	XWV
西武匠	XMF
西峡	XIF
息县	ENN
西乡	XQY
西小沟	XXC
西小召	XZC
西阳	XYL
西阳岔	XIL
西阳村	XQF
西洋	XYS
西阳苑	EYP
西营门	EOP
西斋	XVN
西张	XRV
西张庄	XZV
西哲里木	XRD
汐子	XZD
夏坝	XBW
下板城	EBP
下仓	ECP
下城子	XCB
下初	XFK
夏官营	XGJ
下河	VHP
下花园	XYP
夏集	XGF
夏家河	XHT
下夹河所	XET
峡江	EJG
下坑子	XKC
峡口	XKR
夏拉哈马	XMC
下两	ERW
下马塘	XAT
夏茂	XFS
厦门	XMS
厦门北	XKS
厦门高崎	XBS
霞浦	XOS
下普雄	XPW
下社	XSV
夏石	XIZ
下太和	EAW
下台子	EIP
下塘	XOZ
下藤桥	XKW
夏小堡	XTV
下辛店	XDN
下新光	XXR
夏邑县	EJH
下峪口	XKY
仙村	XCQ
仙林	XPH
咸宁	XNN
咸宁北	XRN
咸宁东	XKN
咸宁南	UNN
仙人桥	XRL
仙水	EXW
鲜滩	XTW
仙桃西	XAN
咸阳	XYY
咸阳秦都	XOY
项城	ERN
香坊	XFB
襄汾	XFV
襄河	XXB
向隍	XZM
香兰	XNB
响沙湾	XSC
向韶	XVQ
湘潭	XTQ
向塘	XTG
向塘西	XXG
湘乡	XXQ
襄阳	XFN
向阳	XDB
襄阳北	XBN
向阳川	ECB
向阳村	XJX
向阳店	XYV
襄阳东	XWN
向阳镇	XNY
襄垣	EIF
祥云	EXM
小白	XBB
小北	XBX
小城	XAL
小池	ERH
小池口	EKG
小村	XEM
小得江	EJM
小东	XOD
小董	XEZ
小儿坪	XUW
孝感	XGN
孝感北	XJN
小高	XGW
小姑家	XGL
小关溪	EGW
小海口	XOM
小浩	EHW
小合隆	XWT
小河沿	XYD
小河镇	EKY
小黑山	XIX
小花果	XHN
小箐	EQM
小康庄	XKP
小榄	EAQ
小梁山	XAD
小林	EIN
小岭	XLB
小路溪	XLM
小南	XNT
孝南	XNV
小南海	XHW
小南垭	XNW
小平房	XPD
小桥	XSW
孝泉	XQW
小泉东	XQR
小山	XSL
小哨	XAM
小市	XST
小水峪	VSP
小寺沟	ESP
小宋	XOF
小唐庄	ETP
小土古里	XTR
小屯	XTT
小屯街	XTF
孝西	XOV
小溪坝	XXW
小喜村	XCM
小西庄	XXP
小新街	XXM
小扬气	XYX
小雨谷	XHM
小榆树	XSX
小月旧	XFM
小寨坝	XZW
小舟	XRS
斜河涧	EEP
谢家	XJL
谢家坟	XFA
谢家镇	XMT
石拐	SGC
新艾里	XVD
新安	EAM
新安村	XCP
新安江	XGH
新安县	XAF
新安庄	XAC
新保安	XAP
新场	XOW
新城川	XLV
新城子	XCT
新绰源	XRX
新村	XCZ
新店子	EQP
新东孝	XXE
新都	XDW
新墩	XEN
信丰	EFG
新丰镇	XFY
新干	EGG
新高峰	XGX
新固镇	XQP
新海	XUM
新寒岭	XVT
新和	XIR
新河	EEH
新华	XHB
新化	EHQ
新华屯	XAX
新晃	XLQ
新会	EFQ
辛集	ENP
新江	XJM
新绛	XJV
新街	XJC
新津	XRW
新九站	XUL
新开	XKD
新乐	ELP
新李	XLJ
新立	XND
新立屯	XLD
新立镇	XGT
新凉	XVW
新林	XPX
新岭	XLT
新龙华	XLH
新萝村	XLW
新庙	EMT
新民	XMD
新民场	EQW
新南沟	XNX
新平坝	XMW
新坪田	XPM
新坡	XPP
新祺周	XOG
新桥	XQH
新桥铺	XQQ
新青	XQB
新邱	XQD
新泉	EQB
新市区	XNP
新松浦	XOB
新台子	XIT
新塘	XWQ
新塘边	XTH
新天	XXX
新铁村	XEW
新窝铺	EPD
新县	XSN
新贤城	XCC
新乡	XXF
新乡东	EGF
新香坊	XTB
新兴	XXL
新兴县	XGQ
新彦	EYX
信阳	XUN
信阳东	OYN
新阳镇	XZJ
新沂	VIH
信宜	EEQ
新沂西	XDK
新友谊	EYB
新余	XUG
新园	XUT
新站	XZL
新帐房	XZX
新杖子	ERP
新肇	XZT
新郑	XNF
新郑北	XBF
忻州	XXV
辛庄	EZP
莘庄	XZH
辛庄子	XIP
兴安	XAZ
兴安北	XDZ
兴安岭	XVX
兴城	XCD
兴福	XEB
幸福滩	XFR
兴国	EUG
兴和	XBC
兴和西	XEC
邢家堡	XJP
兴凯	EKB
星朗	ELW
兴莲	XGB
杏林	XLS
兴隆店	XDD
兴隆河	XIA
兴隆山	XLL
兴隆县	EXP
兴隆镇	XZB
兴南	SIV
兴宁	ENQ
兴平	XPY
兴泉堡	XQJ
兴寿	EVP
杏树	XSB
杏树岗	XSD
杏树屯	XDT
邢台	XTP
邢台东	EDP
兴无	XUX
荥阳南	XPF
星耀	XDC
兴业	FYZ
兴义	XRZ
星源	XNR
熊岳城	XYT
绣峰	XFX
秀山	ETW
修文	XUV
修武	XWF
许昌	XCF
许昌东	XVF
蓿荄	XHC
胥各庄	EUP
墟沟	EZH
徐家	XJB
徐家坪	XJY
许家台	XTJ
许家屯	XJT
溆浦	EPQ
许三湾	XSJ
徐水	XSP
徐水东	EAP
徐闻	XJQ
徐州	XCH
徐州东	UUH
宣城	ECH
轩岗	XGV
宣汉	XHY
宣和	XWJ
宣化	XHP
宣家沟	XUD
宣威	XWM
悬钟	XRP
薛家	XJD
雪门寺	ESW
学庄	EZW
巡场	XJW
寻甸	XMM
旬阳	XUY
旬阳北	XBY
亚布力	YBB
亚布力南	YWB
亚复	YRL
亚沟	YGB
亚河	YHB
雅河	YLT
鸭江	ACW
牙克石	YKX
垭口	YKW
牙拉盖图	YTC
亚龙湾	TWQ
雅鲁	YYX
衙门庙	YMC
衙门营	YMD
鸦雀岭	YLN
牙屯堡	YTZ
鸭园	YYL
雅子泉	YQR
延安	YWY
盐城	AFH
晏城	YEK
晏城北	YYK
盐池	YKJ
雁翅	YAP
砚川	YYY
雁荡山	YGH
盐岛	YNT
烟灯吐	YDD
烟墩	YDR
雁儿崖	YEA
炎方	YEM
燕岗	YGW
严关乡	YXZ
沿河城	YHP
盐湖	YHR
岩会	AEP
延吉	YJL
阎家	YIB
晏家坝	YBY
燕家庄	AZK
燕郊	AJP
岩脚寨	YWW
延津	YOF
盐津	AEW
盐津北	KCW
阎良	YNY
燕落	YLP
焉耆	YSR
延庆	YNP
延庆北	YDV
延庆南	YQA
盐泉	YCR
岩山	YNX
燕山	AOP
铅山西	QSA
偃师	YSF
雁石	YSS
烟台	YAK
烟台北	ATK
烟筒山	YSL
烟筒屯	YUX
燕舞	YRD
雁西湖	YCP
沿寨	AZV
兖州	YZK
燕子砭	YZY
燕子洞	YPM
羊草	YAB
秧草地	YKM
阳岔	YAL
羊场	YED
阳城	YNF
阳澄湖	AIH
羊城铁旅	YCA
阳春	YQQ
杨村	YBP
阳方口	YFV
杨岗	YRB
阳高	YOV
杨各庄	AGP
阳谷	YIK
洋河	GTH
扬嘉	YRW
杨家	YJB
杨家店	YJD
杨家粉坊	YFT
杨家口	AKP
杨家岭	YLG
杨家湾	YJY
杨家营	AVD
羊臼河	YHM
阳朗	YNW
杨林	YLM
杨陵南	YEY
杨陵镇	YSY
杨柳青	YQP
养龙司	YVW
养马河	YAW
阳明堡	YVV
杨木	YMB
羊坪	APW
阳平关	YAY
阳平关东	YKY
羊堡	ABM
阳曲	YQV
阳泉	AQP
阳泉北	YPP
阳泉曲	YYV
羊圈子	YQD
阳山	YIT
杨树岭	YAD
杨树湾	YCD
羊尾哨	YWM
杨溪	YXG
洋县	YVY
阳新	YON
杨辛庄	YXP
杨漩	YYW
阳邑	ARP
阳原	YAV
杨杖子	YZD
羊者窝	AEM
扬州	YLH
姚安	YAC
窑村	YCY
姚家	YAT
姚家坨子	YTT
姚家洲	YZG
遥林	YLL
姚堡	YPD
姚千户屯	YQT
窑上	ASP
腰栈	YVD
叶柏寿	YBD
叶城	YER
叶集	YCH
野马寨	AVW
叶茂	YMZ
野三坡	AIP
野溪	YWP
叶榭	YOH
英吉沙	YIR
依安	YAX
宜宾	YBW
宜宾南	ANW
一步滩	YIW
宜昌	YCN
宜昌东	HAN
宜城	YIN
伊川	YCF
伊春	YCB
宜春	YCG
伊尔施	YET
伊和恩格拉	YNC
义合镇	AIY
一间堡	YJT
义井	YOP
易坑	YES
益口	YKS
伊拉哈	YLX
彝良	ALW
宜良北	YSM
彝良南	RFW
伊林	YLB
义马	YMF
伊吗图	YTD
一面坡	YPB
一面山	YST
伊敏	YMX
伊敏索木	YOX
迤那	AKW
宜耐	YVM
沂南	YNK
伊宁	YMR
伊宁东	YNR
一平浪	YIM
义卜寨	AZP
沂水	YUK
一四二公里	YEC
伊图里河	YEX
义乌	YWH
义县	YXD
宜兴	YUH
益阳	AEQ
宜阳	YYF
弋阳东	YIG
益阳东	ADQ
仪征	UZH
宜州	YSZ
亦庄	YUP
迤资	YQM
银阿	YCX
银城铺	APP
银川	YIJ
银川南	YEJ
尹地	YDM
殷家河	VHN
银浪	YJX
饮马河	YHL
饮马峡	YRO
阴塔	ANV
银镇	AZD
营北	YGD
影壁山	YBA
迎宾路	YFW
应城	YHN
营城	YCL
营城子	YCT
颖川堡	YCJ
迎春	YYB
英德	YDQ
英德西	IIQ
营东	IDT
英额门	YML
莺歌	YOD
营街	YAM
营口	YKT
营口东	YGT
营盘	YPT
营盘上	YBG
营盘水	YZJ
营盘湾	YPC
营山	NUW
颍上	YVH
硬石岭	YRG
鹰手营子	YIP
迎水桥	YQJ
鹰潭	YTG
迎祥街	YJW
营镇	YTY
永安	YAS
永安乡	YNB
永昌	YDH
永川	YCW
永登	YDJ
永甸	INT
永定	YGS
永丰营	YYM
永福	YFZ
永福南	YBZ
永和	YEP
永红	YOL
永济	YIV
永嘉	URH
永嘉堡	YJV
永康	RFH
永郎	YLW
永乐	YEZ
永乐店	YDY
永宁	YEL
邕宁	YRZ
永宁镇	YNH
永平	YVG
永庆	YVX
永胜	YVB
永泰	YTS
永王庄	YWC
永兴	YDW
永修	ACG
永州	AOQ
永州东	YDE
友好	YOB
油溪	YXW
尤溪	YXS
攸县	YOG
酉阳	AFW
友谊水库	YSC
幽州	YZP
犹字井	YOT
渔坝村	YBM
鱼背山	YMW
禹城	YCK
虞城县	IXH
俞冲	YUW
榆次	YCV
鱼洞	YOM
玉洞	YDZ
于都	YDG
鱼儿沟	YGR
雨格	VTM
榆关	AMP
于官屯	YGK
于海屯	YBT
余杭	EVH
余家湾	YWN
于家庄	YRP
余江	YHG
渔津庄	YJP
余粮堡	YLD
榆林	ALY
玉林	YLZ
玉门	YXJ
玉门东	YMJ
玉门沟	YMV
禹门口	YKV
裕民	AMW
玉屏	YZW
鱼泉	AYW
玉泉	YQB
玉山	YNG
郁山	KSW
榆社	YSV
玉舍	AUM
玉石	YSJ
榆树	YRT
榆树川	YNL
榆树沟	YGP
榆树台	YUT
榆树屯	YSX
玉田北	YBV
玉田县	ATP
玉溪	YXM
裕溪口	YXH
裕溪口东	YKH
玉溪南	YRM
育新	YID
余姚	YYH
余姚北	CTH
宇宙地	YZC
鱼嘴	AUW
元坝	YOW
元宝山	YUD
袁北	WNH
园墩	YAJ
袁家堡	IVT
原林	YWX
元龙	YLY
元谋	YMM
原平	YPV
原平南	YPA
源迁	AQK
元氏	YSP
袁树林	YLV
源潭	YTQ
元田坝	YPW
鸳鸯镇	YYJ
袁寨	YRH
月池台	YUY
月华	YQW
岳家井	YGJ
月亮田	YUM
乐清	UPH
月山	YBF
越西	YHW
岳阳	YYQ
岳阳东	YIQ
云彩岭	ACP
运城	YNV
郓城	YPK
云端	YND
云岗	YGV
云居寺	AFP
云梦	YMN
云台山	UQH
云田乡	YTJ
云霄	YBS
蕴藻浜	YZA
昝各庄	JEP
皂角铺	ZPW
枣林	ZIV
枣强	ZVP
枣窝	ZOJ
早阳	ZAY
枣阳	ZYN
枣园	ZYK
枣庄	ZEK
枣庄西	ZFK
枣子林	ZEW
泽普	ZPR
泽润里	ZLM
曾家坪子	ZBW
缯溪河	ZXY
闸河	ZOH
扎兰屯	ZTX
扎鲁特	ZLD
扎罗木得	ZMX
柞水	ZSY
扎音河	ZYB
渣泽	ZZH
咋子	ZAL
扎佐	ZOW
寨口	ZEP
寨隆	ZLZ
寨西店	ZFP
湛江	ZJZ
湛江北	ZBZ
湛江西	ZWQ
占杨	ZEF
沾益	ZYM
张百湾	ZUP
章村	ZWP
章党	ZHT
张坊	ZFG
章古台	ZGD
张贵庄	ZZP
张华浜	ZHA
张集	VJH
张家船	ZBY
张家祠	ZCJ
张家界	DIQ
张家界北	ZNQ
张家口	ZKP
张家口南	ZMP
张家堡	ZBT
张家山	ZJG
张家庄	ZJP
张兰	ZLV
樟林	ZLS
张茅	ZOF
张庙	VMH
樟木头	ZOQ
漳平	ZPS
漳浦	ZCS
张桥	ZQY
章丘	ZTK
张三营	ZSD
樟树	ZSG
樟树东	ZOG
樟树潭	ZTH
张台子	ZZT
丈亭	ZIH
张王庙	ZWG
张维屯	ZWB
彰武	ZWD
张夏	ZXK
张巷	ZYG
张辛	ZIP
张掖	ZYJ
张寨	ZHI
漳州	ZUS
漳州东	GOS
漳州北	ZZS
诏安	ZDS
招柏	ZBP
赵城	ZCV
赵川	ZCP
照东	ZDR
肇东	ZDB
照福铺	ZFM
赵光	ZGB
昭化	ZHW
赵家	ZJB
赵家沟	ZJT
赵家水	ZSJ
赵家窑	ZIJ
肇庆	ZVQ
昭通	ZDW
昭通北	ZCW
昭通南	ZFW
赵庄	ZUF
哲里木	ZLC
镇安	ZEY
镇城底	ZDV
振德	ZAT
镇江	ZJH
镇江南	ZEH
镇赉	ZLT
镇罗堡	ZLJ
镇平	ZPF
枕头峰	ZTL
轸溪	ZQW
镇西	ZVT
镇远	ZUW
珍珠门	ZZL
镇紫街	ZJW
正定	ZDP
正定机场	ZHP
郑集	ZJI
郑家堡	ZPL
郑家屯	ZJD
郑屯	ZTZ
正镶白旗	ZXC
正仪	ZYH
郑州	ZZF
郑州北	ZBF
郑州东	ZAF
郑州西	ZXF
治安	ZAD
枝城	ZCN
轵城	ZCF
纸坊东	ZMN
枝江北	ZIN
芷江西	ZXQ
织金	IZW
芝兰庄	ZMK
治山	ZSB
峙滩	SSG
中村	ZCG
中德	ZDT
忠工屯	ZOX
中和	ZHX
中华门	VNH
中华寺	ZNT
钟家村	ZJY
中牟	ZGF
中宁	VNJ
中宁东	ZDJ
中宁南	ZNJ
中堡	ZBJ
中山	ZSQ
钟山	ZSZ
中山北	ZGQ
中台子	ZVD
中滩	HOM
中卫	ZWJ
中仙	ZBS
钟祥	ZTN
中小所	ZOT
中心	ZRW
中兴	ZXT
中谊村	ZIM
中寨	ZZM
钟杖子	ZZD
中嘴	EUW
洲湖	ZIG
周家	ZOB
周家屯	ZOD
周家寨	ZUQ
周泾巷	ZUH
周口	ZKN
周口店	ZPP
周曲家	ZBH
周士庄	ZSV
周水子	ZIT
周铁岗	ZZN
周王庙	VWH
朱保	VBK
珠宝岗	ZBL
诸城	ZQK
朱店	ZBN
竹峰	VFH
朱嘎	RKW
朱各庄	ZGP
珠海	ZHQ
珠海北	ZIQ
